title,state,html_url,Features,Notes
[Feature request] Support for quantized (INT8) training and inference,closed,https://github.com/pytorch/pytorch/issues/7553,"Feature request, invalid",
[proposal] [discussion] Refactor pruning/weight_norm/spectral_norm using new Reparametrization functionality,open,https://github.com/pytorch/pytorch/issues/7313,"Feature request, invalid",
FX: log spew during FX graph mode quantization due to get_attr targeting packed_params,closed,https://github.com/pytorch/pytorch/issues/70083,"Not a bug, invalid",
Anaconda nightly builds don't prune osx-arm64 platform,open,https://github.com/pytorch/pytorch/issues/70043,"CI/CD, invalid",
fx graph mode quant - torch.sort after quantization not scriptable,open,https://github.com/pytorch/pytorch/issues/69977,"RuntimeError, Unsupported",No attribute ‘dequantize’
quantized batchnorm parameters/buffers not saved in state_dict,open,https://github.com/pytorch/pytorch/issues/69808,"Information missing, Wrong result",parameters not saved in state_dict
[quant] Add support for ConvTranspose2d + BN fusion,open,https://github.com/pytorch/pytorch/issues/69797,"Feature request, invalid",
DBR quant - delete floating point weights after weight packing,open,https://github.com/pytorch/pytorch/issues/69536,"Feature request, invalid",
DBR quant - add test for serialization,open,https://github.com/pytorch/pytorch/issues/69535,"Feature request, Testing, invalid",
[quantization] Failed to save & reload quantized model,closed,https://github.com/pytorch/pytorch/issues/69426,"Users' API misuse, invalid",
[feature request] quantized operators on CUDA,open,https://github.com/pytorch/pytorch/issues/69364,"Feature request, invalid",
"[feature request] More masked reductions: amin/amax, argmin/argmax, quantile, mean/var/std/std_mean/var_mean",open,https://github.com/pytorch/pytorch/issues/69359,"Feature request, invalid",
torch.max/torch.min in Fx quantization might have a tuple ouput,open,https://github.com/pytorch/pytorch/issues/69307,invalid,
"The quantization scripts of TorchVision no longer work using the latest nightly of Core ",closed,https://github.com/pytorch/pytorch/issues/69235,"RuntimeError, Unsupported",QAT of TorchVision
distributed/algorithms/ddp_comm_hooks/test_ddp_hooks and distributed/algorithms/quantization/test_quantization don't run in OSS CI,open,https://github.com/pytorch/pytorch/issues/69017,"CI/CD, Testing, invalid",
ONNX export support for quantize_fx,open,https://github.com/pytorch/pytorch/issues/68638,"RuntimeError, Unsupported",ONNX since 1.10
quantization of basic 3D ops missing?,closed,https://github.com/pytorch/pytorch/issues/68635,"RuntimeError, Unsupported",conv3d
Change comparison strategy for quantized tensors,open,https://github.com/pytorch/pytorch/issues/68548,"Feature request, invalid",
Quantization: torch._make_per_channel_quantized_tensor doesn't work well,closed,https://github.com/pytorch/pytorch/issues/68322,"RuntimeError, Shape error",Setting strides is possible only on uniformly quantized tensor
quantized linear dynamic should get reduce range from the observer rather than overwritting it in qnnpack/fbgemm,open,https://github.com/pytorch/pytorch/issues/68278,"Layer operation, Wrong result",not working for qnnpack
FX graph mode quantization broken for torchvision MobileNetV3,open,https://github.com/pytorch/pytorch/issues/68250,"RuntimeError, Unsupported",MobileNetV3
Support for quantized model's function,closed,https://github.com/pytorch/pytorch/issues/67967,"RuntimeError, Unsupported",Parameter iterator
how to set the quantized data type in QAT,closed,https://github.com/pytorch/pytorch/issues/67965,"invalid, question",
"Trying to quantize and save a pre-trained deberta model, where i get a runtime error ",open,https://github.com/pytorch/pytorch/issues/67687,"RuntimeError, Unsupported",Function XSoftmax
MultiHeadAttention in quantizable seems incorrect with batch_first=True,open,https://github.com/pytorch/pytorch/issues/67651,"Layer operation, Wrong result",Wrong concat of tensors
torch.kthvalue (and maybe torch.quantile) should support argument descending/largest (=True) like topk/sort,open,https://github.com/pytorch/pytorch/issues/67597,"Feature request, invalid",
RuntimeError: quantile() input tensor is too large,closed,https://github.com/pytorch/pytorch/issues/67592,"Users' API misuse, invalid",
" fx graph mode quantizing error  ",open,https://github.com/pytorch/pytorch/issues/67030,"RuntimeError, Type error",List rather than Tuple
[feature request][quant] Support FakeQuant qconfigs in `test_module_init`,open,https://github.com/pytorch/pytorch/issues/66224,"Feature request, invalid",
pytorch mobile: some quant models on android cause memory leak,open,https://github.com/pytorch/pytorch/issues/65734,invalid,No detailed info
"IN the Quantization Aware Training ,when should do quant  and dequant time?",closed,https://github.com/pytorch/pytorch/issues/65321,"invalid, question",
[quant] Add support for Embedding/EmbeddingBag quantization via dynamic quant APIs,closed,https://github.com/pytorch/pytorch/issues/65185,"Feature request, invalid",
Add custom quantization for saved for backwards tensors,closed,https://github.com/pytorch/pytorch/issues/64729,"Feature request, invalid",
torch.ops.quantized.add should handle variable sized arguments,closed,https://github.com/pytorch/pytorch/issues/64660,"RuntimeError, Shape error",Variable sized arguments
Discrepancy in quantization with Pytorch 1.10,closed,https://github.com/pytorch/pytorch/issues/64564,"Invalid value, RuntimeError",FakeQuantize in 1.10
torch.onnx.export crash while export quantized model,open,https://github.com/pytorch/pytorch/issues/64477,"RuntimeError, Unsupported",ONNX
Cannot reproduce Pytorch quantized conv2d using own code,closed,https://github.com/pytorch/pytorch/issues/63769,"Wrong result, invalid",No detailed info
[quant] Remove dtype arg requirement from `torch.empty_quantized`,closed,https://github.com/pytorch/pytorch/issues/63234,"RuntimeError, Type error",remove the type assertion
torch.jit.trace quantized bigbird leads to 0INTERNAL ASSERT FAILED runtime error,open,https://github.com/pytorch/pytorch/issues/63124,"AssertionError, RuntimeError, Shape error",
"when call `torch.onnx.export()`, the graph is pruned by default ? how to cancel pruning",closed,https://github.com/pytorch/pytorch/issues/62951,"Feature request, invalid",
How can I get output of the intermediate layers with quantized jit model,closed,https://github.com/pytorch/pytorch/issues/62287,"invalid, question",
torch.save/load lost some attributes for quantized model,open,https://github.com/pytorch/pytorch/issues/61881,"I/O, Information missing, Wrong result",
[quant] Add support for floating point zero_point in fake_quantize ops,closed,https://github.com/pytorch/pytorch/issues/61866,"Feature request, invalid",
[quant] Support QAT for Embedding/EmbeddingBag,closed,https://github.com/pytorch/pytorch/issues/61865,"Feature request, invalid",
[quant] Create `from_blob_*`  APIs for quantized tensors,closed,https://github.com/pytorch/pytorch/issues/61777,"Feature request, invalid",
fake_quantize_per_channel_affine backward error,closed,https://github.com/pytorch/pytorch/issues/61625,"RuntimeError, Shape error",LSTM
Exporting a quantized model to onnx with opset > 9 fails: nchw2nhwc is not supported,closed,https://github.com/pytorch/pytorch/issues/61512,"RuntimeError, Unsupported",nchw2nhwc to ONNX
"torch.quantization.fx.fuser forget to pass ""additional_fuser_method_mapping"" to fuse method",open,https://github.com/pytorch/pytorch/issues/61246,"Information missing, Wrong result",forget to pass in parameters
[JIT] Request Constant Propagation to keep Constant int8 weight and dequant on the graph,closed,https://github.com/pytorch/pytorch/issues/61092,"Feature request, invalid",
"Spewy warning ""UserWarning: Please use quant_min and quant_max to specify the range for observers.""",open,https://github.com/pytorch/pytorch/issues/61054,"Not a bug, invalid",
Unify tensor quantization algorithm for x86 and arm,open,https://github.com/pytorch/pytorch/issues/61047,"Calculation error, Wrong result","overflow for ARM platform, fix for #60077"
quantize_per_tensor returns inconsistent results on ARM for quint8,closed,https://github.com/pytorch/pytorch/issues/60077,"Calculation error, Wrong result",overflow for ARM platform
Dynamic quantized LSTM does not support output projection now.,open,https://github.com/pytorch/pytorch/issues/60008,"Feature request, invalid",
Bug in torch.quantization.convert (custom mapping) + fix suggestion,closed,https://github.com/pytorch/pytorch/issues/59630,"Information missing, Layer operation, Wrong result",Pass parameters
AttributeError: 'int' object has no attribute 'numel' during quantization,closed,https://github.com/pytorch/pytorch/issues/59221,"AttributeError, RuntimeError, Unsupported",
"Input and output shape of `torch.ops.quantized.batch_norm1d(_relu)?` do not match for 2d inputs ",closed,https://github.com/pytorch/pytorch/issues/59200,"RuntimeError, Shape error",batch_norm1d of relu ← 2d
`test_lstm` in `quantization.bc.test_backward_compatibility.TestSerialization` fails on Intel Cascade Lake machines,open,https://github.com/pytorch/pytorch/issues/59098,"CI/CD, Testing, invalid",Intel Cascade Lake
Improper use of quantization API for MHA should fail fast,open,https://github.com/pytorch/pytorch/issues/58969,"Feature request, invalid",
Use after free in quantization code,closed,https://github.com/pytorch/pytorch/issues/58868,"Information conflict, Layer operation, Wrong result",Use after free
Simplification of pruned models,open,https://github.com/pytorch/pytorch/issues/58846,"Feature request, invalid",
Mobile Android: Could not run 'aten::quantize_per_tensor' with arguments from the 'Vulkan' backend,open,https://github.com/pytorch/pytorch/issues/58172,"RuntimeError, Unsupported",QAT with Vulkan
"Error while converting model for NNAPI ""Unsupported node kind ('quantized::batch_norm2d')""",open,https://github.com/pytorch/pytorch/issues/58171,"RuntimeError, Unsupported",batch_norm2d
Fake quantization produces diverse outputs under CPU and CUDA backends.,closed,https://github.com/pytorch/pytorch/issues/58130,"Not a bug, Wrong result",CPU vs GPU
quantize_per_tensor not symbolically traceable with FX if scale+zp are proxied,open,https://github.com/pytorch/pytorch/issues/58051,"RuntimeError, Type error, Unsupported",Proxied object
Support broadcasting for quantized add,closed,https://github.com/pytorch/pytorch/issues/57590,"Feature request, invalid",
[quantization] Validate qconfig_dict keys,closed,https://github.com/pytorch/pytorch/issues/57509,"RuntimeError, ValueError",names of dict keys mismatch
Poor torch.cat performance in the quantized Unet,open,https://github.com/pytorch/pytorch/issues/57418,Low Performance,
"remove the dependence on node names in fx graph mode quant ",open,https://github.com/pytorch/pytorch/issues/56938,"Refactor, invalid",
How do I convert the quantified model to onnx or ncnn？,closed,https://github.com/pytorch/pytorch/issues/56898,"invalid, question",
quantization for tuple input,closed,https://github.com/pytorch/pytorch/issues/56848,"Feature request, invalid",
can't find user's fuser method in quantization.fx.fusion_patterns.py when run fx graph qat.,open,https://github.com/pytorch/pytorch/issues/56778,"AssertionError, Type error",Cannot find method
The result of `quantized.Conv2d` is different from the manual calculation,closed,https://github.com/pytorch/pytorch/issues/56331,"Calculation error, Wrong result",Round value
torch.nn.quantized.functional.conv_transpose1d/2d/3d support,open,https://github.com/pytorch/pytorch/issues/56262,"Feature request, invalid",
[quantization] deepcopy breaks fused modules,closed,https://github.com/pytorch/pytorch/issues/56108,"AttributeError, RuntimeError",Add constructor
Can the model quantified by qnnpack be inferred on the x86 platform?,closed,https://github.com/pytorch/pytorch/issues/56028,"invalid, question",
Support float_qparams in quantized_clone,open,https://github.com/pytorch/pytorch/issues/55912,"Feature request, invalid",
Pytorch quantize method QAT support int8 or uint8 inference,closed,https://github.com/pytorch/pytorch/issues/55769,"invalid, question",
Support quantized functional linear/conv operators with 32b output,open,https://github.com/pytorch/pytorch/issues/55464,"Feature request, invalid",
Undefined behavior in prepack() for quantized EmbeddingBag,closed,https://github.com/pytorch/pytorch/issues/55396,invalid,Cannot repro
fx graph mode quant - dynamic quant doesn't work with Linear-ReLU,closed,https://github.com/pytorch/pytorch/issues/55393,"Information missing, Layer operation, Wrong result",Linear-ReLU
quantize_per_tensor and quantize_per_channel should work on fp16 tensors,closed,https://github.com/pytorch/pytorch/issues/55387,"RuntimeError, Unsupported","fp32 ok, fp16 not"
test_quantize_fx.py test_resnet_18_dpp test failure,open,https://github.com/pytorch/pytorch/issues/54979,"Testing, invalid",
" quantization aware training Pytorch and TensorRT",closed,https://github.com/pytorch/pytorch/issues/54748,"invalid, question",
Calling test/quantization/test_quantized_op.py directly doesn't do anything,closed,https://github.com/pytorch/pytorch/issues/54154,"CI/CD, Testing, invalid",
Use dispatcher to split up quantized operations,open,https://github.com/pytorch/pytorch/issues/54150,"Feature request, invalid",
"[quantization] test_learnable_backward_per_{channel, tensor}_cpu failing after a seemingly irrelevant changes",open,https://github.com/pytorch/pytorch/issues/53966,"Feature request, invalid",
FX dynamic quantization warnings,closed,https://github.com/pytorch/pytorch/issues/53566,"Not a bug, invalid",
"Add helper function to easily access quantized scripted model weights for linear modules ",closed,https://github.com/pytorch/pytorch/issues/53542,"Feature request, invalid",
Ensure that nn.MHA and functional multi-head attention is supported by FX graph mode quantization,open,https://github.com/pytorch/pytorch/issues/53026,"Feature request, invalid",
could torch with quantize aware of training support onnx-export,closed,https://github.com/pytorch/pytorch/issues/52838,"RuntimeError, Unsupported",ONNX
torch.quantization.fuse_modules behavior different than origin model.,closed,https://github.com/pytorch/pytorch/issues/52584,"Users' API misuse, invalid",
RuntimeError: Can't redefine method: forward on class: __torch__.torch.nn.quantized.modules.conv.Conv1d (of Python compilation unit at: 0x5571a223a770),open,https://github.com/pytorch/pytorch/issues/52363,"RuntimeError, Users' API misuse, invalid",
Why zero_point in _fake_quantize_learnable_per_tensor is different from _fake_quantize_learnable_per_channel_affine?,closed,https://github.com/pytorch/pytorch/issues/52038,"invalid, question",
Make it clearer when a tensor was quantized symmetrically,open,https://github.com/pytorch/pytorch/issues/51152,"API Improvement, Feature request, invalid",
Manually changed quantized weights not reflecting in state_dict(),closed,https://github.com/pytorch/pytorch/issues/50988,"Users' API misuse, invalid",
how can i get the raw uint8 value from quantized tensor?,closed,https://github.com/pytorch/pytorch/issues/50724,"invalid, question",
Output of quantized.functional.conv2d is wrong,closed,https://github.com/pytorch/pytorch/issues/50720,"Calculation error, Wrong result",conv2d
`ATen/cpu/vec256/` should be a header only library for all but quantized types,closed,https://github.com/pytorch/pytorch/issues/50567,"CI/CD, invalid",
"`Expected self.scalar_type() == ScalarType::Float to be true, but got false.` when doing quantization aware training?",closed,https://github.com/pytorch/pytorch/issues/50417,"Users' API misuse, invalid",
Torch quantized_lstm_cell op out-of-bounds access,open,https://github.com/pytorch/pytorch/issues/50037,"API Improvement, Feature request, invalid",
Fix type annotations on torch/quantization/fx/quantize.py,closed,https://github.com/pytorch/pytorch/issues/49836,"API Improvement, Feature request, invalid",
model prune,closed,https://github.com/pytorch/pytorch/issues/49816,"invalid, question",
implementation of fakequantOp is different between CUDA and CPU.,closed,https://github.com/pytorch/pytorch/issues/49779,"Calculation error, Wrong result",CPU vs CUDA
"[Documentation missing item] Clarification on whether INT8 quantization could be beneficial for GPUs like Tesla T4 ",closed,https://github.com/pytorch/pytorch/issues/49741,"Feature request, invalid",
Enable torch.nn.quantized.modules.conv typechecks during CI,closed,https://github.com/pytorch/pytorch/issues/49700,"CI/CD, invalid",
global_pruning costs memory after model is trained,open,https://github.com/pytorch/pytorch/issues/49332,Resource comsuming,
Implement additional quantile modes,closed,https://github.com/pytorch/pytorch/issues/48523,"Feature request, invalid",
Dynamic quantization doesn't work after a forward pass,closed,https://github.com/pytorch/pytorch/issues/48448,"RuntimeError, Unsupported",deepcopy → inplace
quantization - document get_default_qconfig,open,https://github.com/pytorch/pytorch/issues/48106,"documentation, invalid",
"Do you support quantification of a part of the model, such as quantifying only the backbone",closed,https://github.com/pytorch/pytorch/issues/47839,"invalid, question",
Error in test_quantize - missing FBGEMM implementation,closed,https://github.com/pytorch/pytorch/issues/47748,"Testing, invalid",
"Enable torch.nn.intrinsic.quantized.modules.conv_relu typechecks during CI ",closed,https://github.com/pytorch/pytorch/issues/47679,"CI/CD, invalid",
[quant] Add documentation for python functions,closed,https://github.com/pytorch/pytorch/issues/47652,"documentation, invalid",
The output shape of torch.nn.quantized.functional.max_pool2d() is wrong in some cases,closed,https://github.com/pytorch/pytorch/issues/47556,"Not a bug, invalid",
whether the torch.quantization.prepare_qat can support ConvTranspose2d or not,closed,https://github.com/pytorch/pytorch/issues/47427,"invalid, question",
FX quantization: we should preserve original model class name through the quantization passes,open,https://github.com/pytorch/pytorch/issues/47363,"Feature request, invalid",
Quantized modules should properly implement __getstate__ and __setstate__ (copy.deepcopy doesn't work on quantized model),open,https://github.com/pytorch/pytorch/issues/47311,"AttributeError, RuntimeError",deepcopy for quantized model
XNNPACK/src/qu8-requantization/precise-psimd.c:139:1: error: unrecognizable insn:,closed,https://github.com/pytorch/pytorch/issues/47292,RuntimeError,"Compiler optimization, use -O1"
"nn.quantized.Floatfunction  , Why Not Support Division",open,https://github.com/pytorch/pytorch/issues/47249,"Feature request, invalid",
RuntimeError: Exporting the operator quantize_per_tensor to ONNX opset version 10 is not supported.,open,https://github.com/pytorch/pytorch/issues/47217,"RuntimeError, Unsupported",ONNX
"INTERNAL ASSERT FAILED at ""/pytorch/torch/csrc/jit/passes/onnx/unpack_quantized_weights.cpp"":92",open,https://github.com/pytorch/pytorch/issues/47204,"Users' API misuse, invalid",
why the scales in quantization are floats not in the format of m/2^n,closed,https://github.com/pytorch/pytorch/issues/46756,"invalid, question",
Quantization - we need a better solution for tracking quantization backend settings in a model,open,https://github.com/pytorch/pytorch/issues/46749,"Feature request, invalid",
torch.concat doesn't raise an error in a quantized model,open,https://github.com/pytorch/pytorch/issues/46604,"Feature request, Wrong result, invalid",
fx quantization: nn.sequential not fuseable,closed,https://github.com/pytorch/pytorch/issues/46562,"IndexError, RuntimeError, Shape error",deepcopy
module type is not preserved when symbolic tracing torch.nn.quantized.FloatFunctional,closed,https://github.com/pytorch/pytorch/issues/46430,"Information missing, Wrong result",leaf module
How to save a quantized model?,closed,https://github.com/pytorch/pytorch/issues/4633,"invalid, question",
"Training a pruned model makes it 10 times slower at inference ",closed,https://github.com/pytorch/pytorch/issues/46180,"Non-positive performance, Wrong result",
[qnnpack] quantized sigmoid support general output_scale and output_zero_point,closed,https://github.com/pytorch/pytorch/issues/46005,"Feature request, invalid",
[quantization]: Using histogram observer in a model's qconfig for QAT with nn.DataParallel leads to possible deadlock,closed,https://github.com/pytorch/pytorch/issues/45970,"Not a bug, invalid",
Extend quantized::clamp to support optional min/max,closed,https://github.com/pytorch/pytorch/issues/45928,"Feature request, invalid",
"Do we have plan to offer C++ binding for prune related features. ",open,https://github.com/pytorch/pytorch/issues/45855,"Feature request, invalid",
DISABLED test_functional_debug (quantization.test_quantize_fx.TestQuantizeFx),closed,https://github.com/pytorch/pytorch/issues/45810,"Duplicated, invalid",#45809
DISABLED test_functional_debug (quantization.test_quantize_fx.TestQuantizeFx),closed,https://github.com/pytorch/pytorch/issues/45809,"CI/CD, Testing, invalid",
DISABLED test_functional_no_debug (quantization.test_quantize_fx.TestQuantizeFx),closed,https://github.com/pytorch/pytorch/issues/45761,"CI/CD, Testing, invalid",
fx graph mode quantization tutorials,open,https://github.com/pytorch/pytorch/issues/45635,"documentation, invalid",
[quantization]: Add support for quantization aware training for Leaky Relu and Sigmoid,closed,https://github.com/pytorch/pytorch/issues/45593,"Information conflict, Unsupported, Wrong result",Scale and 0-pt for Leaky RELU / Sigmoid
(prototype) Graph Mode Dynamic Quantization on BERT failure on quantize_dynamic_jit(...) call,open,https://github.com/pytorch/pytorch/issues/45111,"RuntimeError, Type error",No attribute
Median / quantile / mode pooling,open,https://github.com/pytorch/pytorch/issues/45009,"Feature request, invalid",
Inconsistent result from FBGEMM and QNNPACK quantization backends,closed,https://github.com/pytorch/pytorch/issues/44939,"Calculation error, Dynamic RNN, Wrong result, documentation",FBGEMM & QNNPACK
about sparse cnn quantize aware training,closed,https://github.com/pytorch/pytorch/issues/44880,"invalid, question",
Support for quantized maxpool 1d,closed,https://github.com/pytorch/pytorch/issues/44852,"Feature request, invalid",
Enable torch.backends.quantized typechecks during CI,closed,https://github.com/pytorch/pytorch/issues/44793,"CI/CD, invalid",
"Pytorch 1.6 / torch_nightly doesn't support static-quantization for `F.conv2d` (aten::thnn_conv2d_forward) ",open,https://github.com/pytorch/pytorch/issues/44782,"RuntimeError, Unsupported",conv2d_forward
Make enable/disable fake_quant and observer global functions,closed,https://github.com/pytorch/pytorch/issues/44751,"API Improvement, invalid",
Make quantized::prepack_fp16 op just do prepacking,open,https://github.com/pytorch/pytorch/issues/44676,"API Improvement, invalid",
fx quantization: skipping layers seems to not work,closed,https://github.com/pytorch/pytorch/issues/44438,"Layer operation, No effect, Wrong result",
eager mode quantization: document custom qconfigs,closed,https://github.com/pytorch/pytorch/issues/44432,"documentation, invalid",
investigate reported issues with quantized BatchNorm2d,open,https://github.com/pytorch/pytorch/issues/43774,"I/O, Information missing, Wrong result",
How to see the weight  value of the quantified model?,closed,https://github.com/pytorch/pytorch/issues/43625,"invalid, question",
module prune has no effect on speed and memory consumption,closed,https://github.com/pytorch/pytorch/issues/43552,"invalid, question",
"torch.quantization.quantize_dynamic document refers `module` as a parameter ",open,https://github.com/pytorch/pytorch/issues/43503,"documentation, invalid",
test_lstm of quantization.test_backward_compatibility.TestSerialization fails,closed,https://github.com/pytorch/pytorch/issues/43209,"Testing, invalid",
Enable torch.nn.quantized.dynamic.modules.rnn typechecks during CI,closed,https://github.com/pytorch/pytorch/issues/43185,"CI/CD, invalid",
[quant] Need to rewrite the serialization versioning for the ConvPackedParams,closed,https://github.com/pytorch/pytorch/issues/43168,"Not a bug, invalid",
Enable torch.nn.quantized typechecks during CI,closed,https://github.com/pytorch/pytorch/issues/43029,"CI/CD, invalid",
Display quant_min/quant_max on FakeQuantize module,closed,https://github.com/pytorch/pytorch/issues/43023,"API Improvement, invalid",
[tutorials] Add details for quantized model save/load,closed,https://github.com/pytorch/pytorch/issues/43016,"documentation, invalid",
"Enable torch.quantization._numeric_suite typechecks during CI ",closed,https://github.com/pytorch/pytorch/issues/42977,"CI/CD, invalid",
"Enable torch.quantization.quantize_jit typechecks during CI ",closed,https://github.com/pytorch/pytorch/issues/42975,"CI/CD, invalid",
"Enable torch.quantization.fake_quantize typechecks during CI ",closed,https://github.com/pytorch/pytorch/issues/42974,"CI/CD, invalid",
"Enable torch.quantization.stubs typechecks during CI ",closed,https://github.com/pytorch/pytorch/issues/42973,"CI/CD, invalid",
"Enable torch.quantization.observer typechecks during CI ",closed,https://github.com/pytorch/pytorch/issues/42972,"CI/CD, invalid",
"Enable torch.quantization.fuse_modules typechecks during CI ",open,https://github.com/pytorch/pytorch/issues/42971,"CI/CD, invalid",
"Enable torch.quantization.default_mappings typechecks during CI ",closed,https://github.com/pytorch/pytorch/issues/42970,"CI/CD, invalid",
undefined reference to `dnnlowp' related libraries when use caffe2 quantization server with C++ API,closed,https://github.com/pytorch/pytorch/issues/42801,"RuntimeError, Unsupported",caffe2
[quant] Quantized AdaptivePool3d is much slower for ChannelsLast3d.,open,https://github.com/pytorch/pytorch/issues/42779,Low Performance,AdaptivePool3d < ChannelsLast3d
Unable to print the min-max of quantized weights using Per-channel affine qscheme,open,https://github.com/pytorch/pytorch/issues/42598,"AssertionError, RuntimeError",Error when getting min & max of layer weight
support LSTM for quantization aware training,open,https://github.com/pytorch/pytorch/issues/42594,"AttributeError, RuntimeError, Unsupported",LSTM
state_dict for quantized models,closed,https://github.com/pytorch/pytorch/issues/42497,"Information missing, Wrong result",
fake_quantize_per_tensor_affine failed on float16 input,closed,https://github.com/pytorch/pytorch/issues/42351,"Feature request, RuntimeError, Type error",float16
Audit quantization functions to ensure proper argument sizes,open,https://github.com/pytorch/pytorch/issues/42336,"API Improvement, invalid",
Not able to run quantized model on android,open,https://github.com/pytorch/pytorch/issues/42308,invalid,no detailed info
Pytorch 1.6.0 Quantization  quantized tensor support on CUDA is not working,closed,https://github.com/pytorch/pytorch/issues/42288,"RuntimeError, Unsupported",GPU quantization
[feature request] support for division in quantization,closed,https://github.com/pytorch/pytorch/issues/42130,"Feature request, invalid",
[jit] [transformer] [8-bit quantize] Error when trying to quantize pytorch build-in transformer model and then export it with libtorch,closed,https://github.com/pytorch/pytorch/issues/42022,"RuntimeError, Type error",Linear class → LinearWithBias
Poor performance of dynamic quantazation,closed,https://github.com/pytorch/pytorch/issues/41865,Low Performance,
Replace blacklist/whitelist in torch/quantization/quantize.py,closed,https://github.com/pytorch/pytorch/issues/41764,"API Improvement, invalid",
