title,state,html_url,Features,Notes
Replace blacklist/whitelist in torch/quantization/default_mappings.py,closed,https://github.com/pytorch/pytorch/issues/41763,"API Improvement, invalid",
Replace blacklist/whitelist in torch/quantization/_numeric_suite.py,closed,https://github.com/pytorch/pytorch/issues/41762,"API Improvement, invalid",
Replace blacklist/whitelist in torch/csrc/jit/passes/quantization/helper.cpp,closed,https://github.com/pytorch/pytorch/issues/41759,"API Improvement, invalid",
Replace blacklist/whitelist in torch/quantization/default_mappings.py,closed,https://github.com/pytorch/pytorch/issues/41756,"API Improvement, invalid",
Replace blacklist/whitelist in test/quantization/test_quantized_op.py,closed,https://github.com/pytorch/pytorch/issues/41751,"API Improvement, invalid",
Inconsistency loading quantized models when state_dict with Version==None,open,https://github.com/pytorch/pytorch/issues/41684,"I/O, KeyError, RuntimeError",Format version mismatch
support BatchNorm1d quantization fusion throughout quantization passes,open,https://github.com/pytorch/pytorch/issues/41642,"RuntimeError, Unsupported",BatchNorm1d
whitelist keyword to quantization.prepare is implemented incorrectly,closed,https://github.com/pytorch/pytorch/issues/41633,"Default value, Layer operation, Wrong result",Should set to None rather than empty set
Error while trying to trace quantized model,closed,https://github.com/pytorch/pytorch/issues/41594,"RuntimeError, invalid",No detailed info
quantization.fuse_modules fails with Conv1d and BatchNorm1d,closed,https://github.com/pytorch/pytorch/issues/41534,"RuntimeError, Unsupported",conv1d & batchnorm1d
Memory corruption and crash in quantized convolution with small inputs,closed,https://github.com/pytorch/pytorch/issues/41406,"RuntimeError, ValueError",image size < pad size
Is it planning to support nn.Embeddings quantization?,closed,https://github.com/pytorch/pytorch/issues/41396,"Feature request, invalid",
Problem about type conversion between quantized module and float module,closed,https://github.com/pytorch/pytorch/issues/41166,"invalid, question",
eager mode quantization should remove qconfig in the (non-leaf module of) quantized model,open,https://github.com/pytorch/pytorch/issues/41149,"Feature request, invalid",
All cpu allocations after calling _make_per_tensor_quantized_tensor on a cuda tensor are in pinned memory,closed,https://github.com/pytorch/pytorch/issues/41115,Resource comsuming,CUDA memory
Torch.jit.trace error on FPN quantized model,closed,https://github.com/pytorch/pytorch/issues/40994,"AssertionError, RuntimeError",FPN
Move the pruning module to a higher level,closed,https://github.com/pytorch/pytorch/issues/40966,"Feature request, invalid",
quantized ops don't support multithreading?,open,https://github.com/pytorch/pytorch/issues/40473,"invalid, question",
"Rename all ""quantization"" kernels in the native_functions.yaml",open,https://github.com/pytorch/pytorch/issues/40315,"API Improvement, invalid",
Make `aten::adaptive_avg_pool3d` work for quantized Tensor inputs,closed,https://github.com/pytorch/pytorch/issues/40244,"Feature request, invalid",
Reduce the number of variations of `quantized::add`,closed,https://github.com/pytorch/pytorch/issues/39817,"Refactor, invalid",
"Support mainstream pruning techniques ",open,https://github.com/pytorch/pytorch/issues/39765,"Feature request, invalid",
[Quantization] Output tensor type is lost after serializing and loading back a quantized model,open,https://github.com/pytorch/pytorch/issues/39690,"Information missing, Wrong result",
Export fake quantization function to ONNX,closed,https://github.com/pytorch/pytorch/issues/39502,"Feature request, invalid",
Format issue in `torch.quantization.add_quant_dequant`  documentation parameter section,open,https://github.com/pytorch/pytorch/issues/39426,"documentation, invalid",
Draw quantized tensors in tensorboard,open,https://github.com/pytorch/pytorch/issues/39370,"invalid, question",
Failure when loading quantized pre-trained weights partially,open,https://github.com/pytorch/pytorch/issues/39058,"I/O, Information missing, Wrong result",
[Feature request] Structured pruning support zeroing respective output channel biases,closed,https://github.com/pytorch/pytorch/issues/38598,"Feature request, invalid",
[quantization] Version support for quantization BC tests,open,https://github.com/pytorch/pytorch/issues/38569,"Testing, invalid",
[Feature Request] Can torch.quantization support ReLU6 ?,closed,https://github.com/pytorch/pytorch/issues/38516,"invalid, question",
quantization.test_quantize.TestGraphModePostTrainingStatic fails in tsan,closed,https://github.com/pytorch/pytorch/issues/38056,"Testing, invalid",
"[quant] quant aware training mode.  result is different between ""before convert""and ""after convert to int8 model"" when run the same image",closed,https://github.com/pytorch/pytorch/issues/37747,invalid,no detailed info
DISABLED test_default_quantized_lstm (quantization.test_quantize.TestPostTrainingDynamic),closed,https://github.com/pytorch/pytorch/issues/37495,"CI/CD, invalid",
qnnpack's quantized-add gives wrong result,open,https://github.com/pytorch/pytorch/issues/37343,"Calculation error, Wrong result",requantization
copy.deepcopy() breaks when pruning is set on sequential,closed,https://github.com/pytorch/pytorch/issues/37322,"RuntimeError, Unsupported",deepcopy
Preserve forward() hooks while preparing for quantization,closed,https://github.com/pytorch/pytorch/issues/37151,"Feature request, invalid",
Incremental pruning reorders module hooks,closed,https://github.com/pytorch/pytorch/issues/37138,"Information conflict, Wrong result",
how to convert quantization_ware_training model to onnx,closed,https://github.com/pytorch/pytorch/issues/36991,"invalid, question",
refactor test/quantization/test_backward_compatibility.py with bundled_inputs,open,https://github.com/pytorch/pytorch/issues/36958,"API Improvement, invalid",
Potential division by zero in quantization observer,closed,https://github.com/pytorch/pytorch/issues/36888,RuntimeError,div by 0
Error with CUDA for quantization aware training,closed,https://github.com/pytorch/pytorch/issues/36802,"RuntimeError, Unsupported",CUDA
Need to fix nn.quantized.Linear API,open,https://github.com/pytorch/pytorch/issues/36703,"Precondition check, Wrong result",
CUDA quantization is not currently supported in pytorch1.4?,closed,https://github.com/pytorch/pytorch/issues/36645,"CUDA, Unsupported",
quantized::batch_norm2d should exist,closed,https://github.com/pytorch/pytorch/issues/36532,"RuntimeError, Unsupported",
quantized::conv2d and variants don't have explicit schema,closed,https://github.com/pytorch/pytorch/issues/36511,"RuntimeError, Unsupported",
Meaning of _quantized namespace isn't documented,closed,https://github.com/pytorch/pytorch/issues/36510,"documentation, invalid",
[quantization] how to quantize model which include not support to quantize layer,closed,https://github.com/pytorch/pytorch/issues/36384,"invalid, question",
why the quantized weights are showed in wrong values?,closed,https://github.com/pytorch/pytorch/issues/36304,"invalid, question",
"[quantization] Error in QNNPACK: failed to create convolution with 0.6145506 input scale, 1.624538 kernel scale, and 0.2153073 output scale: convolution scale 4.636909 is greater or equal to 1.0",closed,https://github.com/pytorch/pytorch/issues/36253,"Calculation error, Invalid value, RuntimeError","some value ≥ 1, same as #33466"
minor formatting issue in the quantization doc,closed,https://github.com/pytorch/pytorch/issues/36104,"documentation, invalid",
[quantization] torch.quantized_lstm and torch.quantized_gru not documented,open,https://github.com/pytorch/pytorch/issues/36091,"documentation, invalid",
Ensure quantization workflows work with batch-size 0 tensors,closed,https://github.com/pytorch/pytorch/issues/36001,"Feature request, Precondition check",
Feature Request: Add quantile function support,closed,https://github.com/pytorch/pytorch/issues/35977,"Feature request, invalid",
"when I print a quantized tensor, why it is in float32 fomat?",closed,https://github.com/pytorch/pytorch/issues/35874,"invalid, question",
"After quantization, torchvision's resnet18 report error when forward",closed,https://github.com/pytorch/pytorch/issues/35595,"Users' API misuse, invalid",
ONNX export failed on ATen operator quantized_lstm,open,https://github.com/pytorch/pytorch/issues/35536,"RuntimeError, Unsupported",ONNX & lstm
"After quantization the model, mobile pytorch raise exception",closed,https://github.com/pytorch/pytorch/issues/35465,invalid,cannot repro
`aten::quantize_per_tensor` is not constant folded,closed,https://github.com/pytorch/pytorch/issues/35068,"Layer operation, No effect, Wrong result",not folded
why the bias is float in quantization model,closed,https://github.com/pytorch/pytorch/issues/34872,"invalid, question",
Could not run 'quantized::conv2d' with arguments from the 'CPUTensorId' backend. 'quantized::conv2d' is only available for these backends: [QuantizedCPUTensorId].,closed,https://github.com/pytorch/pytorch/issues/34583,"Users' API misuse, invalid",
Didn't find engine for operation quantized::conv_prepack NoQEngine (operator () at ..\aten\src\ATen\native\quantized\cpu\qconv_prepack.cpp:264) (no backtrace available),closed,https://github.com/pytorch/pytorch/issues/34550,"Duplicated, invalid",#31684
"How to quantize CNN in pytorch 1.3? ",closed,https://github.com/pytorch/pytorch/issues/34437,"invalid, question",
All quantized ops should take scalar_type as an argument,open,https://github.com/pytorch/pytorch/issues/34351,invalid,
CustomFromMask pruning stores a copy of the user-provided mask,open,https://github.com/pytorch/pytorch/issues/34257,"Not a bug, invalid",
Implement range reduction for activations on dynamic quantization kernels and enable per-tensor and per-channel dynamic quant with range reduction,closed,https://github.com/pytorch/pytorch/issues/34113,"RuntimeError, Unsupported",range reduction
Add support for static and dynamic quantization with Conv1D operator,open,https://github.com/pytorch/pytorch/issues/34074,"Feature request, invalid",
change dtype for scales/zero_points in per channel quantization to float Tensor and int Tensor,open,https://github.com/pytorch/pytorch/issues/33827,"API Improvement, invalid",
Flaky test test_quantized_rnn on Windows,closed,https://github.com/pytorch/pytorch/issues/33756,"Testing, invalid",
Add DDP support for observer and fake-quant modules,closed,https://github.com/pytorch/pytorch/issues/33648,"Feature request, invalid",
Improve speed of per-channel fake quant operator,closed,https://github.com/pytorch/pytorch/issues/33647,"Feature request, invalid",
[Quantization]Quant and Dequant is changing memory layout,open,https://github.com/pytorch/pytorch/issues/33643,Resource comsuming,CUDA memory
torch.nn.utils.prune.remove prevents future model training,closed,https://github.com/pytorch/pytorch/issues/33618,"RuntimeError, Type error",train after prune
QuantStub doesn't convert tensor to int8 in quantized model,closed,https://github.com/pytorch/pytorch/issues/33487,"RuntimeError, Type error, Unsupported",int8
question about GPT 2 quantization,closed,https://github.com/pytorch/pytorch/issues/33433,"invalid, question",
Need to support clone for per channel quantized tensor,closed,https://github.com/pytorch/pytorch/issues/33309,"Feature request, invalid",
Acces to weights after quantization,closed,https://github.com/pytorch/pytorch/issues/33013,"invalid, question",
"random_pruning, remove_pruning typo",closed,https://github.com/pytorch/pytorch/issues/32991,"documentation, invalid",
Dynamic Linear quantization fails with engine 'qnnpack when trying to  create a quantized based model for use on an Android mobile device,closed,https://github.com/pytorch/pytorch/issues/32934,"RuntimeError, Unsupported",
Effectiveness of pruning,closed,https://github.com/pytorch/pytorch/issues/32928,"Non-positive performance, Not a bug",
AssertionError: torch.nn.quantized.ReLU does not support inplace,closed,https://github.com/pytorch/pytorch/issues/32859,"AssertionError, RuntimeError, invalid",no detailed info
[quantization] Need fused relu FP16 dynamic quantized linear,closed,https://github.com/pytorch/pytorch/issues/32775,"Type error, Wrong result",fp16
Fused 1D modules for quantization,open,https://github.com/pytorch/pytorch/issues/32768,"Feature request, invalid",
DISABLED test_quantized_rnn (test_quanization.PostTrainingDynamicQuantTest),closed,https://github.com/pytorch/pytorch/issues/32743,"Testing, invalid",
Dynamic LSTM quantization fails with engine 'qnnpack' when LSTM is part of another module,closed,https://github.com/pytorch/pytorch/issues/32676,"RuntimeError, Type error",No PackedLinearWeight
DISABLED test_quantized_rnn (test_quanization.PostTrainingDynamicQuantTest),open,https://github.com/pytorch/pytorch/issues/32644,"Testing, invalid",
Channel-wise quantization for activations for conv/linear operators,closed,https://github.com/pytorch/pytorch/issues/32542,"Feature request, invalid",
AttributeError: module 'torch.nn.utils' has no attribute 'prune',closed,https://github.com/pytorch/pytorch/issues/32483,"AttributeError, RuntimeError, Users' API misuse, invalid",
Need unittests for the quantization save_state/load_state,open,https://github.com/pytorch/pytorch/issues/32189,"Testing, invalid",
Missing documentation for is_quantized,open,https://github.com/pytorch/pytorch/issues/32064,"documentation, invalid",
Parallelization of the fbgemm::quantized/dequantize,closed,https://github.com/pytorch/pytorch/issues/32006,"Feature request, invalid",
test_quantized is flaky,closed,https://github.com/pytorch/pytorch/issues/32000,"Testing, invalid",
A pattern fuse or pattern replace tool for quantization.,closed,https://github.com/pytorch/pytorch/issues/31872,"Feature request, invalid",
torch.nn.quantized.functional.conv2d failed on CPU,closed,https://github.com/pytorch/pytorch/issues/31868,"Users' API misuse, invalid",
How to set quantization aware training scaling factors?,closed,https://github.com/pytorch/pytorch/issues/31823,"invalid, question",
quantization - Missing operations needed for object detection,open,https://github.com/pytorch/pytorch/issues/31316,"RuntimeError, Unsupported",
[quant] QuantizedCUDA,closed,https://github.com/pytorch/pytorch/issues/30813,"Feature request, invalid",
Support the unary quantized operator,closed,https://github.com/pytorch/pytorch/issues/30675,"Feature request, RuntimeError, invalid",
test_insert_quant_dequant_multi_uses is broken,closed,https://github.com/pytorch/pytorch/issues/30465,"Testing, invalid",
Speed-up per channel fake quantization implementation,closed,https://github.com/pytorch/pytorch/issues/30349,"Feature request, invalid",
Add support for fusion of relu6 with conv and bn for quantization,open,https://github.com/pytorch/pytorch/issues/30214,"Feature request, invalid",
[quantization][graph mode] SubgraphRewriter discards SourceRanges,open,https://github.com/pytorch/pytorch/issues/30182,"No effect, Wrong result",
quantization-aware training,closed,https://github.com/pytorch/pytorch/issues/30125,invalid,cannot repro
"Static Quantization: Get Error ""RuntimeError: didn't find kernel to dispatch to for operator 'quantized:: conv2d'. Tried to look up kernel for dispatch key 'CPUTensorId'. Registered dispatch keys are [quantizedCPUTensorId](look up_at /pytorch/aten/src/ATen/core/dispatch/DispatchTable.h:249)""",closed,https://github.com/pytorch/pytorch/issues/29989,"RuntimeError, Users' API misuse",Input tensor is not quantized
Add doc coverage testing for quantization.rst,open,https://github.com/pytorch/pytorch/issues/29763,"documentation, invalid",
add discussion about QNNPACK to quantization doc page,closed,https://github.com/pytorch/pytorch/issues/29735,"documentation, invalid",
Failed to convert quantized mobilenet to onnx,closed,https://github.com/pytorch/pytorch/issues/29724,"RuntimeError, Unsupported",ONNX Mobilenet
test_insert_quant_dequant JIT test is flaky,closed,https://github.com/pytorch/pytorch/issues/29693,"Testing, invalid",
Error in example of quantized.functional.conv2d,closed,https://github.com/pytorch/pytorch/issues/29649,"documentation, invalid",
Warning when instantiating quantized model,open,https://github.com/pytorch/pytorch/issues/29538,"Not a bug, invalid",
quantized permute throws an error when trying to print/show the tensor,closed,https://github.com/pytorch/pytorch/issues/29435,"Invalid Type, RuntimeError",Skip copy_name_type_transpose
RuntimeError: Didn't find engine for operation quantized::conv_prepack NoQEngine,closed,https://github.com/pytorch/pytorch/issues/29327,"RuntimeError, Unsupported",
Indexed assignment of quantized Tensors yields unexpected results,closed,https://github.com/pytorch/pytorch/issues/29102,"Calculation error, Wrong result",
Speed slows down after model quantization,closed,https://github.com/pytorch/pytorch/issues/29024,Non-positive performance,
Is the bias quantized when torch.quantization.convert()?,closed,https://github.com/pytorch/pytorch/issues/28952,"Feature request, invalid",
A question about static_quantization_tutorial,closed,https://github.com/pytorch/pytorch/issues/28951,"invalid, question",
RuntimeError: Didn't find engine for operation quantized::conv_prepack NoQEngine,closed,https://github.com/pytorch/pytorch/issues/28945,"RuntimeError, Unsupported",
andoroid  quantization  model (mobilenetv2) first forward  very slow?  but second forward  faster why how to fix it,closed,https://github.com/pytorch/pytorch/issues/28778,"invalid, question",
"How to use torch.quantization.get_observer_dict(mod, target_dict, prefix='')",closed,https://github.com/pytorch/pytorch/issues/28776,"invalid, question",
why the data-type of output is quint8 in static quantize? what  static quantize does under the hood?,closed,https://github.com/pytorch/pytorch/issues/28771,"invalid, question",
test_rand_quantization is flaky,closed,https://github.com/pytorch/pytorch/issues/28550,"Testing, invalid",
[quantization] Dispatch key error message is confusing to users,closed,https://github.com/pytorch/pytorch/issues/28518,"API Improvement, documentation, invalid",
Didn't find kernel to dispatch to for operator 'quantized::conv2d',closed,https://github.com/pytorch/pytorch/issues/28483,"Users' API misuse, invalid",
"torch.quantization.convert() doesn't remove observer from empty Sequential() module, causing error when scripting",closed,https://github.com/pytorch/pytorch/issues/28375,"RuntimeError, Shape error",Has excess observer in model
Error for quantize_dynamic(resnet18) + torch.jit.trace + ios-demo-app/PyTorchDemo,closed,https://github.com/pytorch/pytorch/issues/28346,"RuntimeError, Unsupported",
How to save quantized model in PyTorch1.3 with quantization information,closed,https://github.com/pytorch/pytorch/issues/28331,"Information missing, Wrong result",
[quantization] fix the seed for hypothesis in CI,open,https://github.com/pytorch/pytorch/issues/28323,"CI/CD, invalid",
How to quantize resnet in pytorch 1.3?,closed,https://github.com/pytorch/pytorch/issues/28202,"RuntimeError, Unsupported",Dynamic Conv2d
net after quantize_qat can not improve accuracy,closed,https://github.com/pytorch/pytorch/issues/28071,"Users' API misuse, invalid",
run quantization on GPU,closed,https://github.com/pytorch/pytorch/issues/28069,"Feature request, invalid",
[quantization] Packed sequence support for dynamic quantized RNN,closed,https://github.com/pytorch/pytorch/issues/27963,"Dynamic RNN, Unsupported",
[quantization] Dynamic LSTM doesn't serialize properly when traced,closed,https://github.com/pytorch/pytorch/issues/27954,"RuntimeError, trace",
Dynamic quantization with 8 bit weights leads to poor accuracy on BERT Models,closed,https://github.com/pytorch/pytorch/issues/27949,"Low accuracy, Not a bug, invalid",8bit QAT
Some of the quantized functions lack documentation,closed,https://github.com/pytorch/pytorch/issues/27938,"documentation, invalid",
torch.quantization.MovingAverageObserver linked to in docs but doesn't exist,closed,https://github.com/pytorch/pytorch/issues/27849,"documentation, invalid",
Move torch.nn.quantized.conv2d to GPU,closed,https://github.com/pytorch/pytorch/issues/27811,"RuntimeError, Unsupported",CUDA
[quantization] FP16 Support for Dynamic Linear,closed,https://github.com/pytorch/pytorch/issues/27794,"Feature request, invalid",
[quantization] QNNPACK Engine for Dynamic Quantization,closed,https://github.com/pytorch/pytorch/issues/27793,"Feature request, invalid",
How do you add quantized training?,closed,https://github.com/pytorch/pytorch/issues/27747,"Feature request, invalid",
Try torch.nn.quantized.functional.conv2d failed,closed,https://github.com/pytorch/pytorch/issues/27739,"RuntimeError, Unsupported",conv2d
quantizationed model cannot inference with cuda?,closed,https://github.com/pytorch/pytorch/issues/27729,"RuntimeError, Unsupported",CUDA
odd formatting in quantization.rst,closed,https://github.com/pytorch/pytorch/issues/27618,"documentation, invalid",
formatting issue in dynamic quantization function,closed,https://github.com/pytorch/pytorch/issues/27450,"documentation, invalid",
"nn.quantized.modules.linear not showing the linear class. ",closed,https://github.com/pytorch/pytorch/issues/27433,"Feature request, invalid",
"the reference to the quantization nn modules needs a little more description. ",closed,https://github.com/pytorch/pytorch/issues/27430,"documentation, invalid",
torch quant docs all showing up in the index.html,closed,https://github.com/pytorch/pytorch/issues/27352,"Feature request, invalid",
Need to add image for the quantization formula to the quantization doc,closed,https://github.com/pytorch/pytorch/issues/27317,"documentation, invalid",
document: torch.quantize_per_tensor and torch.quantize_per_channel,closed,https://github.com/pytorch/pytorch/issues/27296,"documentation, invalid",
nn.Dropout does not work with quantized tensors on scripted models,closed,https://github.com/pytorch/pytorch/issues/27205,"No effect, Wrong result",
torch.quantized.modules.floatFunctional -- add a little color commentary to the doc,open,https://github.com/pytorch/pytorch/issues/26990,"API Improvement, invalid",
strange rendering in add_quant_dequant,closed,https://github.com/pytorch/pytorch/issues/26469,"documentation, invalid",
There's something wrong with the quantization hypothesis tests (ASAN induced),closed,https://github.com/pytorch/pytorch/issues/26279,"Testing, invalid",
Error when using `quantized_linear_per_channel` inside `aten/src/Aten/native/quantized/cpu`,closed,https://github.com/pytorch/pytorch/issues/25962,"RuntimeError, invalid",cannot repro
x.view() does not work after pooling on quantized tensors,closed,https://github.com/pytorch/pytorch/issues/25890,"RuntimeError, Shape error, Type error",
pack weight and bias to the same struct for fbgemm quantized conv and linear ops,closed,https://github.com/pytorch/pytorch/issues/25401,"Information conflict, Wrong result",
Serialization does not work for quantized modules,open,https://github.com/pytorch/pytorch/issues/25137,"I/O, Information missing, RuntimeError",
[RFC] Add new python modules in `torch.nn.quantized` for mobile.,closed,https://github.com/pytorch/pytorch/issues/25120,"API Improvement, invalid",
CI warnings for quantization tests,closed,https://github.com/pytorch/pytorch/issues/25096,"API Improvement, invalid",
Better error message when a quantized operator is not supported,closed,https://github.com/pytorch/pytorch/issues/24395,"Feature request, invalid",
Promote the quantization scheme to Affine in the quantize addition,closed,https://github.com/pytorch/pytorch/issues/24215,"Feature request, invalid",
[quantization] Need kernels for broadcasting ops,closed,https://github.com/pytorch/pytorch/issues/24210,"Feature request, invalid",
[quant] Layout transform,closed,https://github.com/pytorch/pytorch/issues/24066,invalid,
[quant][graph mode] convert float function aten function calls to quantized function calls,closed,https://github.com/pytorch/pytorch/issues/24064,invalid,
[quant] Handling ConvBn in graph mode,closed,https://github.com/pytorch/pytorch/issues/24063,invalid,
[quant] use qconfig_dict in graph mode,closed,https://github.com/pytorch/pytorch/issues/24062,invalid,
[quant] Graph mode quant - skip inserting observers for certain patterns,closed,https://github.com/pytorch/pytorch/issues/24061,invalid,
Make quantization flow work with _intrinsic modules,closed,https://github.com/pytorch/pytorch/issues/24017,"Feature request, invalid",
[quantization] copy_kernel_cast not implemented for QUInt8,closed,https://github.com/pytorch/pytorch/issues/23986,"API Improvement, invalid",
[quantization] Tracking task for __getstate__ and __setstate__ support on quantized modules,closed,https://github.com/pytorch/pytorch/issues/23984,"Feature request, invalid",
[quantization] quantized linear _load_from_state_dict and _save_to_state_dict are untested,closed,https://github.com/pytorch/pytorch/issues/23950,"CI/CD, Precondition check, invalid",
Fused Conv2d/Batchnorm Op is not implemented for post training quantization flow,closed,https://github.com/pytorch/pytorch/issues/23932,"Feature request, invalid",
Support the inplace Relu fusion in quantization flow,closed,https://github.com/pytorch/pytorch/issues/23924,"Feature request, invalid",
Implement observers that provide higher accuracy for quantization,closed,https://github.com/pytorch/pytorch/issues/23919,"Feature request, invalid",
nn.quantized.conv2d module does not register _scale and _zeropoint as buffers.,closed,https://github.com/pytorch/pytorch/issues/23881,"API Improvement, invalid",
Add channelwise quantization support,closed,https://github.com/pytorch/pytorch/issues/23877,"Feature request, invalid",
Improved error reporting for torch.quantization.convert(),open,https://github.com/pytorch/pytorch/issues/23875,"API Improvement, invalid",
tag:quantization_release_1.3,closed,https://github.com/pytorch/pytorch/issues/23872,"API Improvement, invalid",
[quantization] jit::class_ for packed weights,open,https://github.com/pytorch/pytorch/issues/23850,"API Improvement, invalid",
Observer does not ensure that zero is in range of quantizable values.,closed,https://github.com/pytorch/pytorch/issues/23838,"RuntimeError, Unsupported",0 in range
[quantization] Add testing for script-ing quantization modules,closed,https://github.com/pytorch/pytorch/issues/23827,"CI/CD, invalid",
[quantization] Enable quantization OSS tests,closed,https://github.com/pytorch/pytorch/issues/23826,"CI/CD, invalid",
Torch.Quantization: functions for determining supported modules/functionals/methods for quantized tensors,closed,https://github.com/pytorch/pytorch/issues/23750,"Feature request, invalid",
torch/nn/quantized/modules/conv.py should not depend on Numpy,closed,https://github.com/pytorch/pytorch/issues/23080,"CI/CD, invalid",
expected ) but found 'ident' here: quantized::fake_quantize_per_tensor_affine_forward,closed,https://github.com/pytorch/pytorch/issues/20804,"CI/CD, invalid",
Build error with MSVC (aten\src\ATen\native\quantized\Copy.cpp),closed,https://github.com/pytorch/pytorch/issues/20642,"CI/CD, invalid",
[Caffe2] Compile error: onnxTensorDescriptorV1 has no member named quantizationParams,closed,https://github.com/pytorch/pytorch/issues/19798,"RuntimeError, Type error",
"How to perform quantization of a model in PyTorch?  ",closed,https://github.com/pytorch/pytorch/issues/17713,"invalid, question",
Namedtuples prune the tensor representations too much,closed,https://github.com/pytorch/pytorch/issues/17112,"Not a bug, invalid",
[]Compile bug in caffe2/quantization/server/activation_distribution_observer.cc when using g++4.9.2,closed,https://github.com/pytorch/pytorch/issues/14983,"RuntimeError, Unsupported",
cannot run mobilenet_v2_quantized on pytorch/caffe2,open,https://github.com/pytorch/pytorch/issues/13373,"Users' API misuse, invalid",